,M1,M2,M3,M4,M5
0,8000.0,2440.0,2670.0,7264.0,4210.0
1,8350.0,2490.0,2590.0,7215.0,4290.0
2,8570.0,2710.0,2784.0,7022.0,4250.0
3,7700.0,2290.0,2816.0,7040.0,4320.0
4,7080.0,1960.0,2888.0,6966.0,4320.0
5,6520.0,1990.0,2906.0,6984.0,4330.0
6,6070.0,1960.0,2839.0,7025.0,4320.0
7,6650.0,2530.0,2860.0,7082.0,4260.0
8,6830.0,2640.0,2798.0,6956.0,4220.0
9,5710.0,2650.0,2795.0,7014.0,4260.0
10,5260.0,2150.0,2796.0,7067.0,4180.0
11,5470.0,1910.0,2858.0,7099.0,4230.0
12,7870.0,2510.0,2782.0,7046.0,4270.0
13,7360.0,2100.0,2801.0,7139.0,4500.0
14,8470.0,1840.0,2907.0,7011.0,4410.0
15,7880.0,2330.0,2919.0,7022.0,4440.0
16,6750.0,1830.0,2937.0,7084.0,4430.0
17,6860.0,2290.0,2878.0,7036.0,4440.0
18,6220.0,2090.0,2841.0,7098.0,4540.0
19,6650.0,2340.0,2967.0,7083.0,4450.0
20,5450.0,2420.0,3050.0,7045.0,4420.0
21,5280.0,1850.0,2981.0,7057.0,4410.0
22,4970.0,1960.0,3076.0,6986.0,4300.0
23,5550.0,2000.0,3033.0,6937.0,4300.0
24,7750.0,2300.0,2936.0,6927.0,4420.0
25,7760.0,2160.0,2927.0,6953.0,4350.0
26,7190.0,1730.0,2929.0,7007.0,4340.0
27,7440.0,2090.0,2987.0,6949.0,4410.0
28,6590.0,1890.0,2777.0,6930.0,4340.0
29,6210.0,2180.0,2760.0,6925.0,4400.0
30,6010.0,1950.0,2769.0,6956.0,4360.0
31,6390.0,2020.0,2830.0,6946.0,4420.0
32,5780.0,1770.0,2861.0,6866.0,4470.0
33,5700.0,1960.0,2991.0,6814.0,4310.0
34,4680.0,1860.0,3063.0,6806.0,4280.0
35,4970.0,1340.0,3134.0,6806.0,4220.0
36,6850.0,2150.0,3020.0,6855.0,4190.0
37,6740.0,2180.0,2947.0,6951.0,4120.0
38,7490.0,2030.0,3026.0,6898.0,4150.0
39,6250.0,1730.0,3060.0,6898.0,4190.0
40,6900.0,1860.0,3008.0,6922.0,4180.0
41,5870.0,1880.0,2972.0,6768.0,4320.0
